city,state,zip,latitude,longitude
"Wayland","Massachusetts","01778","42.3583","-71.35895"
"Woburn","Massachusetts","01801","42.48694","-71.15415"
"Burlington","Massachusetts","01803","42.5028","-71.20147"
"Andover","Massachusetts","01810","42.64669","-71.16517"
"Billerica","Massachusetts","01821","42.54999","-71.25206"
"Chelmsford","Massachusetts","01824","42.59156","-71.35553"
"Dracut","Massachusetts","01826","42.68323","-71.30063"
"Dunstable","Massachusetts","01827","42.67643","-71.50052"
"Haverhill","Massachusetts","01830","42.7959","-71.05323"
"Haverhill","Massachusetts","01832","42.79099","-71.13133"
"Georgetown","Massachusetts","01833","42.72409","-70.9821"
"Groveland","Massachusetts","01834","42.75198","-71.01486"
"Haverhill","Massachusetts","01835","42.75292","-71.08602"
"Lawrence","Massachusetts","01840","42.70695","-71.16014"
"Lawrence","Massachusetts","01841","42.71077","-71.16494"
"Lawrence","Massachusetts","01843","42.68985","-71.16095"
"Methuen","Massachusetts","01844","42.73426","-71.18858"
"North Andover","Massachusetts","01845","42.67132","-71.08669"
"Lowell","Massachusetts","01850","42.65569","-71.30292"
"Lowell","Massachusetts","01851","42.62915","-71.33674"
"Lowell","Massachusetts","01852","42.63231","-71.29538"
"Lowell","Massachusetts","01854","42.64939","-71.34827"
"Merrimac","Massachusetts","01860","42.83858","-71.01194"
"North Billerica","Massachusetts","01862","42.57427","-71.29437"
"North Chelmsford","Massachusetts","01863","42.63274","-71.39132"
"North Reading","Massachusetts","01864","42.58156","-71.08759"
"Reading","Massachusetts","01867","42.53505","-71.1055"
"Tewksbury","Massachusetts","01876","42.61206","-71.22733"
"Tyngsboro","Massachusetts","01879","42.66626","-71.42911"
"Wakefield","Massachusetts","01880","42.50348","-71.06559"
"Westford","Massachusetts","01886","42.58642","-71.44008"
"Wilmington","Massachusetts","01887","42.56091","-71.16541"
"Winchester","Massachusetts","01890","42.45177","-71.14628"
"Lynn","Massachusetts","01901","42.46125","-70.94639"
"Lynn","Massachusetts","01902","42.4712","-70.93983"
"Lynn","Massachusetts","01904","42.49151","-70.97166"
"Lynn","Massachusetts","01905","42.46355","-70.9733"
"Saugus","Massachusetts","01906","42.46922","-71.01299"
"Swampscott","Massachusetts","01907","42.47572","-70.90684"
"Nahant","Massachusetts","01908","42.42856","-70.92614"
"Amesbury","Massachusetts","01913","42.85297","-70.94459"
"Beverly","Massachusetts","01915","42.56841","-70.8647"
"Boxford","Massachusetts","01921","42.6815","-71.01887"
"Byfield","Massachusetts","01922","42.75862","-70.91758"
"Danvers","Massachusetts","01923","42.57398","-70.94923"
"Essex","Massachusetts","01929","42.63478","-70.77684"
"Gloucester","Massachusetts","01930","42.62605","-70.68966"
"Hathorne","Massachusetts","01937","42.58579","-70.98406"
"Ipswich","Massachusetts","01938","42.68568","-70.83989"
"Lynnfield","Massachusetts","01940","42.53523","-71.03695"
"Manchester","Massachusetts","01944","42.58154","-70.76825"
"Marblehead","Massachusetts","01945","42.49924","-70.86348"
"Middleton","Massachusetts","01949","42.6043","-71.01641"
"Newburyport","Massachusetts","01950","42.81237","-70.88785"
"Newbury","Massachusetts","01951","42.77742","-70.85022"
"Salisbury","Massachusetts","01952","42.84655","-70.86163"
"Peabody","Massachusetts","01960","42.53374","-70.97222"
"Prides Crossing","Massachusetts","01965","42.56294","-70.82996"
"Rockport","Massachusetts","01966","42.65432","-70.62227"
"Rowley","Massachusetts","01969","42.72235","-70.88832"
"Salem","Massachusetts","01970","42.51298","-70.90266"
"South Hamilton","Massachusetts","01982","42.62669","-70.85789"
"Topsfield","Massachusetts","01983","42.63728","-70.94251"
"Wenham","Massachusetts","01984","42.60078","-70.8826"
"West Newbury","Massachusetts","01985","42.7939","-70.96906"
"Bellingham","Massachusetts","02019","42.0777","-71.47407"
